Timestamp.2014,2014,Timestamp.2013,2013,Timestamp.2012,2012,Timestamp.2011,2011
16-02-2014,NA,16-02-2013,NA,16-02-2012,10,16-02-2011,47
17-02-2014,13,17-02-2013,NA,17-02-2012,9,17-02-2011,45
18-02-2014,17,18-02-2013,-7,18-02-2012,NA,18-02-2011,67
19-02-2014,20,19-02-2013,-12,19-02-2012,NA,19-02-2011,NA
20-02-2014,15,20-02-2013,-16,20-02-2012,11,20-02-2011,NA
21-02-2014,18,21-02-2013,-13,21-02-2012,1,21-02-2011,22
22-02-2014,NA,22-02-2013,-4,22-02-2012,4,22-02-2011,84
23-02-2014,NA,23-02-2013,NA,23-02-2012,10,23-02-2011,23
24-02-2014,11,24-02-2013,NA,24-02-2012,9,24-02-2011,8
25-02-2014,17,25-02-2013,-12,25-02-2012,NA,25-02-2011,-32
26-02-2014,23,26-02-2013,-8,26-02-2012,NA,26-02-2011,NA
27-02-2014,19,27-02-2013,-10,27-02-2012,11,27-02-2011,NA
28-02-2014,21,28-02-2013,-13,28-02-2012,8,28-02-2011,-44
2014-02-29,NA,2013-02-29,NA,29-02-2012,8,2011-02-29,NA
01-03-2014,NA,01-03-2013,-5,01-03-2012,-7,01-03-2011,NA
02-03-2014,NA,02-03-2013,NA,02-03-2012,3,02-03-2011,40
03-03-2014,20,03-03-2013,NA,03-03-2012,NA,03-03-2011,38
04-03-2014,19,04-03-2013,-6,04-03-2012,NA,04-03-2011,25
05-03-2014,15,05-03-2013,5,05-03-2012,0,05-03-2011,NA
06-03-2014,17,06-03-2013,-1,06-03-2012,16,06-03-2011,NA
07-03-2014,18,07-03-2013,-3,07-03-2012,1,07-03-2011,35
08-03-2014,NA,08-03-2013,-4,08-03-2012,5,08-03-2011,NA
09-03-2014,NA,09-03-2013,NA,09-03-2012,6,09-03-2011,26
10-03-2014,19,10-03-2013,NA,10-03-2012,NA,10-03-2011,71
11-03-2014,20,11-03-2013,2,11-03-2012,NA,11-03-2011,-54
12-03-2014,19,12-03-2013,2,12-03-2012,3,12-03-2011,NA
13-03-2014,26,13-03-2013,6,13-03-2012,9,13-03-2011,NA
14-03-2014,17,14-03-2013,-2,14-03-2012,9,14-03-2011,54
15-03-2014,NA,15-03-2013,0,15-03-2012,5,15-03-2011,-3
16-03-2014,NA,16-03-2013,NA,16-03-2012,10,16-03-2011,5
17-03-2014,14,17-03-2013,NA,17-03-2012,NA,17-03-2011,20
18-03-2014,22,18-03-2013,5,18-03-2012,NA,18-03-2011,16
19-03-2014,24,19-03-2013,1,19-03-2012,4,19-03-2011,NA
20-03-2014,23,20-03-2013,2,20-03-2012,12,20-03-2011,NA
21-03-2014,18,21-03-2013,3,21-03-2012,5,21-03-2011,15
22-03-2014,NA,22-03-2013,-2,22-03-2012,6,22-03-2011,19
23-03-2014,NA,23-03-2013,NA,23-03-2012,13,23-03-2011,10
24-03-2014,25,24-03-2013,NA,24-03-2012,NA,24-03-2011,16
25-03-2014,7,25-03-2013,-3,25-03-2012,NA,25-03-2011,0
26-03-2014,4,26-03-2013,1,26-03-2012,10,26-03-2011,NA
27-03-2014,3,27-03-2013,-5,27-03-2012,12,27-03-2011,NA
28-03-2014,11,28-03-2013,-5,28-03-2012,11,28-03-2011,3
29-03-2014,NA,29-03-2013,-8,29-03-2012,12,29-03-2011,-5
30-03-2014,NA,30-03-2013,NA,30-03-2012,16,30-03-2011,8
31-03-2014,8,31-03-2013,NA,31-03-2012,NA,31-03-2011,11
01-04-2014,4,01-04-2013,-8,01-04-2012,NA,01-04-2011,-12
02-04-2014,6,02-04-2013,-1,02-04-2012,18,02-04-2011,NA
03-04-2014,4,03-04-2013,-5,03-04-2012,12,03-04-2011,NA
04-04-2014,6,04-04-2013,-5,04-04-2012,13,04-04-2011,20
05-04-2014,NA,05-04-2013,-6,05-04-2012,16,05-04-2011,5
06-04-2014,NA,06-04-2013,NA,06-04-2012,23,06-04-2011,5
07-04-2014,4,07-04-2013,NA,07-04-2012,NA,07-04-2011,6
08-04-2014,1,08-04-2013,-4,08-04-2012,NA,08-04-2011,5
09-04-2014,-3,09-04-2013,-3,09-04-2012,18,09-04-2011,NA
10-04-2014,3,10-04-2013,-6,10-04-2012,19,10-04-2011,NA
11-04-2014,3,11-04-2013,-12,11-04-2012,NA,11-04-2011,10
12-04-2014,NA,12-04-2013,-4,12-04-2012,20,12-04-2011,4
13-04-2014,NA,13-04-2013,NA,13-04-2012,15,13-04-2011,-6
14-04-2014,0,14-04-2013,NA,14-04-2012,NA,14-04-2011,0
15-04-2014,6,15-04-2013,-4,15-04-2012,NA,15-04-2011,-10
16-04-2014,6,16-04-2013,-2,16-04-2012,9,16-04-2011,NA
17-04-2014,12,17-04-2013,-5,17-04-2012,22,17-04-2011,NA
18-04-2014,7,18-04-2013,1,18-04-2012,15,18-04-2011,0
19-04-2014,NA,19-04-2013,-3,19-04-2012,15,19-04-2011,3
20-04-2014,NA,20-04-2013,NA,20-04-2012,13,20-04-2011,10
21-04-2014,2,21-04-2013,NA,21-04-2012,NA,21-04-2011,5
22-04-2014,6,22-04-2013,2,22-04-2012,NA,22-04-2011,1
23-04-2014,7,23-04-2013,5,23-04-2012,14,23-04-2011,NA
24-04-2014,5,24-04-2013,5,24-04-2012,4,24-04-2011,NA
25-04-2014,5,25-04-2013,6,25-04-2012,9,25-04-2011,6
26-04-2014,NA,26-04-2013,9,26-04-2012,18,26-04-2011,7
27-04-2014,NA,27-04-2013,NA,27-04-2012,20,27-04-2011,8
28-04-2014,7,28-04-2013,NA,28-04-2012,NA,28-04-2011,9
29-04-2014,3,29-04-2013,5,29-04-2012,NA,29-04-2011,6
30-04-2014,3,30-04-2013,5,30-04-2012,12,30-04-2011,NA
01-05-2014,NA,01-05-2013,NA,01-05-2012,NA,01-05-2011,NA
02-05-2014,3,02-05-2013,3,02-05-2012,15,02-05-2011,NA
03-05-2014,NA,03-05-2013,3,03-05-2012,8,03-05-2011,6
04-05-2014,NA,04-05-2013,NA,04-05-2012,13,04-05-2011,10
05-05-2014,5,05-05-2013,NA,05-05-2012,NA,05-05-2011,7
06-05-2014,6,06-05-2013,6,06-05-2012,NA,06-05-2011,7
07-05-2014,2,07-05-2013,3,07-05-2012,12,07-05-2011,NA
08-05-2014,6,08-05-2013,7,08-05-2012,9,08-05-2011,NA
09-05-2014,5,09-05-2013,6,09-05-2012,15,09-05-2011,8
10-05-2014,NA,10-05-2013,5,10-05-2012,14,10-05-2011,10
11-05-2014,NA,11-05-2013,NA,11-05-2012,7,11-05-2011,8
12-05-2014,7,12-05-2013,NA,12-05-2012,NA,12-05-2011,7
13-05-2014,NA,13-05-2013,2,13-05-2012,NA,13-05-2011,10
14-05-2014,6,14-05-2013,5,14-05-2012,4,14-05-2011,NA
15-05-2014,8,15-05-2013,11,15-05-2012,11,15-05-2011,NA
16-05-2014,6,16-05-2013,10,16-05-2012,8,16-05-2011,10
17-05-2014,NA,17-05-2013,10,17-05-2012,5,17-05-2011,NA
18-05-2014,NA,18-05-2013,NA,18-05-2012,7,18-05-2011,12
19-05-2014,4,19-05-2013,NA,19-05-2012,NA,19-05-2011,10
20-05-2014,3,20-05-2013,8,20-05-2012,NA,20-05-2011,9
21-05-2014,3,21-05-2013,6,21-05-2012,4,21-05-2011,NA
22-05-2014,4,22-05-2013,11,22-05-2012,5,22-05-2011,NA
23-05-2014,3,23-05-2013,10,23-05-2012,9,23-05-2011,11
24-05-2014,NA,24-05-2013,NA,24-05-2012,6,24-05-2011,18
25-05-2014,NA,25-05-2013,NA,25-05-2012,7,25-05-2011,19
26-05-2014,0,26-05-2013,NA,26-05-2012,NA,26-05-2011,17
27-05-2014,-1,27-05-2013,12,27-05-2012,NA,27-05-2011,30
28-05-2014,1,28-05-2013,13,28-05-2012,8,28-05-2011,NA
29-05-2014,2,29-05-2013,6,29-05-2012,6,29-05-2011,NA
30-05-2014,0,30-05-2013,4,30-05-2012,6,30-05-2011,28
31-05-2014,NA,31-05-2013,2,31-05-2012,6,31-05-2011,29
01-06-2014,NA,01-06-2013,NA,01-06-2012,6,01-06-2011,18
02-06-2014,2,02-06-2013,NA,02-06-2012,NA,02-06-2011,11
03-06-2014,4,03-06-2013,-1,03-06-2012,NA,03-06-2011,9
04-06-2014,2,04-06-2013,-1,04-06-2012,9,04-06-2011,NA
05-06-2014,2,05-06-2013,1,05-06-2012,5,05-06-2011,NA
06-06-2014,0,06-06-2013,-1,06-06-2012,5,06-06-2011,5
07-06-2014,NA,07-06-2013,-1,07-06-2012,-1,07-06-2011,1
08-06-2014,NA,08-06-2013,NA,08-06-2012,3,08-06-2011,3
09-06-2014,2,09-06-2013,NA,09-06-2012,NA,09-06-2011,7
10-06-2014,1,10-06-2013,2,10-06-2012,NA,10-06-2011,-1
11-06-2014,4,11-06-2013,-1,11-06-2012,3,11-06-2011,NA
12-06-2014,3,12-06-2013,0,12-06-2012,4,12-06-2011,NA
13-06-2014,3,13-06-2013,0,13-06-2012,-5,13-06-2011,-2
14-06-2014,NA,14-06-2013,2,14-06-2012,-4,14-06-2011,5
15-06-2014,NA,15-06-2013,NA,15-06-2012,-1,15-06-2011,-2
16-06-2014,4,16-06-2013,NA,16-06-2012,NA,16-06-2011,7
17-06-2014,5,17-06-2013,5,17-06-2012,NA,17-06-2011,7
18-06-2014,8,18-06-2013,6,18-06-2012,-9,18-06-2011,NA
19-06-2014,10,19-06-2013,8,19-06-2012,-6,19-06-2011,NA
20-06-2014,9,20-06-2013,11,20-06-2012,4,20-06-2011,12
21-06-2014,NA,21-06-2013,9,21-06-2012,-4,21-06-2011,19
22-06-2014,NA,22-06-2013,NA,22-06-2012,-9,22-06-2011,12
23-06-2014,6,23-06-2013,NA,23-06-2012,NA,23-06-2011,18
24-06-2014,6,24-06-2013,6,24-06-2012,NA,24-06-2011,0
25-06-2014,10,25-06-2013,1,25-06-2012,-12,25-06-2011,NA
26-06-2014,12,26-06-2013,2,26-06-2012,-12,26-06-2011,NA
27-06-2014,17,27-06-2013,4,27-06-2012,-5,27-06-2011,8
28-06-2014,NA,28-06-2013,1,28-06-2012,-7,28-06-2011,7
29-06-2014,NA,29-06-2013,NA,29-06-2012,-20,29-06-2011,3
30-06-2014,15,30-06-2013,NA,30-06-2012,NA,30-06-2011,13
01-07-2014,11,01-07-2013,4,01-07-2012,NA,01-07-2011,17
02-07-2014,17,02-07-2013,2,02-07-2012,-18,02-07-2011,NA
03-07-2014,13,03-07-2013,2,03-07-2012,-10,03-07-2011,NA
04-07-2014,18,04-07-2013,6,04-07-2012,-12,04-07-2011,11
05-07-2014,NA,05-07-2013,0,05-07-2012,-14,05-07-2011,10
06-07-2014,NA,06-07-2013,NA,06-07-2012,-20,06-07-2011,9
07-07-2014,20,07-07-2013,NA,07-07-2012,NA,07-07-2011,13
08-07-2014,26,08-07-2013,1,08-07-2012,NA,08-07-2011,8
09-07-2014,23,09-07-2013,8,09-07-2012,-11,09-07-2011,NA
10-07-2014,32,10-07-2013,5,10-07-2012,-4,10-07-2011,NA
11-07-2014,29,11-07-2013,10,11-07-2012,-13,11-07-2011,4
12-07-2014,NA,12-07-2013,10,12-07-2012,1,12-07-2011,10
13-07-2014,NA,13-07-2013,NA,13-07-2012,-6,13-07-2011,17
14-07-2014,48,14-07-2013,NA,14-07-2012,NA,14-07-2011,1
15-07-2014,NA,15-07-2013,9,15-07-2012,NA,15-07-2011,14
16-07-2014,47,16-07-2013,16,16-07-2012,-14,16-07-2011,NA
17-07-2014,67,17-07-2013,7,17-07-2012,-4,17-07-2011,NA
18-07-2014,54,18-07-2013,38,18-07-2012,-12,18-07-2011,5
19-07-2014,NA,19-07-2013,58,19-07-2012,-15,19-07-2011,6
20-07-2014,NA,20-07-2013,NA,20-07-2012,-18,20-07-2011,2
21-07-2014,49,21-07-2013,NA,21-07-2012,NA,21-07-2011,2
22-07-2014,54,22-07-2013,56,22-07-2012,NA,22-07-2011,-3
23-07-2014,60,23-07-2013,53,23-07-2012,-14,23-07-2011,NA
24-07-2014,43,24-07-2013,54,24-07-2012,2,24-07-2011,NA
25-07-2014,44,25-07-2013,61,25-07-2012,-9,25-07-2011,-1
26-07-2014,NA,26-07-2013,36,26-07-2012,3,26-07-2011,-2
27-07-2014,NA,27-07-2013,NA,27-07-2012,-9,27-07-2011,-3
