Timestamp.2014,2014,Timestamp.2013,2013,Timestamp.2012,2012,Timestamp.2011,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-02-2013,NA,15-02-2012,NA,15-02-2011,NA,15-02-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-02-2013,NA,16-02-2012,NA,16-02-2011,NA,16-02-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-02-2013,NA,17-02-2012,NA,17-02-2011,NA,17-02-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-02-2013,NA,18-02-2012,NA,18-02-2011,NA,18-02-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-02-2013,NA,19-02-2012,NA,19-02-2011,NA,19-02-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-02-2013,NA,20-02-2012,NA,20-02-2011,NA,20-02-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-02-2013,NA,21-02-2012,NA,21-02-2011,NA,21-02-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2013,NA,22-02-2012,NA,22-02-2011,NA,22-02-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-02-2013,NA,23-02-2012,NA,23-02-2011,NA,23-02-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-02-2013,NA,24-02-2012,NA,24-02-2011,NA,24-02-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-02-2013,NA,25-02-2012,NA,25-02-2011,NA,25-02-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-02-2013,NA,26-02-2012,NA,26-02-2011,NA,26-02-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-02-2013,NA,27-02-2012,NA,27-02-2011,NA,27-02-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-02-2013,NA,28-02-2012,NA,28-02-2011,NA,28-02-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2013,NA,01-03-2012,NA,01-03-2011,NA,01-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-03-2013,NA,02-03-2012,NA,02-03-2011,NA,02-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-03-2013,NA,03-03-2012,NA,03-03-2011,NA,03-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-03-2013,NA,04-03-2012,NA,04-03-2011,NA,04-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-03-2013,NA,05-03-2012,NA,05-03-2011,NA,05-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-03-2013,NA,06-03-2012,NA,06-03-2011,NA,06-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-03-2013,NA,07-03-2012,NA,07-03-2011,NA,07-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-03-2013,NA,08-03-2012,NA,08-03-2011,NA,08-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-03-2013,NA,09-03-2012,NA,09-03-2011,NA,09-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-03-2013,NA,10-03-2012,NA,10-03-2011,NA,10-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-03-2013,NA,11-03-2012,NA,11-03-2011,NA,11-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-03-2013,NA,12-03-2012,NA,12-03-2011,NA,12-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-03-2013,NA,13-03-2012,NA,13-03-2011,NA,13-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2013,NA,14-03-2012,NA,14-03-2011,NA,14-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-03-2013,NA,15-03-2012,NA,15-03-2011,NA,15-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-03-2013,NA,16-03-2012,NA,16-03-2011,NA,16-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-03-2013,NA,17-03-2012,NA,17-03-2011,NA,17-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-03-2013,NA,18-03-2012,NA,18-03-2011,NA,18-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-03-2013,NA,19-03-2012,NA,19-03-2011,NA,19-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-03-2013,NA,20-03-2012,NA,20-03-2011,NA,20-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-03-2013,NA,21-03-2012,NA,21-03-2011,NA,21-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-03-2013,NA,22-03-2012,NA,22-03-2011,NA,22-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2013,NA,23-03-2012,NA,23-03-2011,NA,23-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-03-2013,NA,24-03-2012,NA,24-03-2011,NA,24-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-03-2013,NA,25-03-2012,NA,25-03-2011,NA,25-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-03-2013,NA,26-03-2012,NA,26-03-2011,NA,26-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2013,NA,27-03-2012,NA,27-03-2011,NA,27-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2013,NA,28-03-2012,NA,28-03-2011,NA,28-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-03-2013,NA,29-03-2012,NA,29-03-2011,NA,29-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-03-2013,NA,30-03-2012,NA,30-03-2011,NA,30-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-03-2013,NA,31-03-2012,NA,31-03-2011,NA,31-03-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2013,NA,01-04-2012,NA,01-04-2011,NA,01-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-04-2013,NA,02-04-2012,NA,02-04-2011,NA,02-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-04-2013,NA,03-04-2012,NA,03-04-2011,NA,03-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-04-2013,NA,04-04-2012,NA,04-04-2011,NA,04-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-04-2013,NA,05-04-2012,NA,05-04-2011,NA,05-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-04-2013,NA,06-04-2012,NA,06-04-2011,NA,06-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-04-2013,NA,07-04-2012,NA,07-04-2011,NA,07-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-04-2013,NA,08-04-2012,NA,08-04-2011,NA,08-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-04-2013,NA,09-04-2012,NA,09-04-2011,NA,09-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-04-2013,NA,10-04-2012,NA,10-04-2011,NA,10-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-04-2013,NA,11-04-2012,NA,11-04-2011,NA,11-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-04-2013,NA,12-04-2012,NA,12-04-2011,NA,12-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-04-2013,NA,13-04-2012,NA,13-04-2011,NA,13-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-04-2013,NA,14-04-2012,NA,14-04-2011,NA,14-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-04-2013,NA,15-04-2012,NA,15-04-2011,NA,15-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-04-2013,NA,16-04-2012,NA,16-04-2011,NA,16-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-04-2013,NA,17-04-2012,NA,17-04-2011,NA,17-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-04-2013,NA,18-04-2012,NA,18-04-2011,NA,18-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-04-2013,NA,19-04-2012,NA,19-04-2011,NA,19-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-04-2013,NA,20-04-2012,NA,20-04-2011,NA,20-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-04-2013,NA,21-04-2012,NA,21-04-2011,NA,21-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-04-2013,NA,22-04-2012,NA,22-04-2011,NA,22-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-04-2013,NA,23-04-2012,NA,23-04-2011,NA,23-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-04-2013,NA,24-04-2012,NA,24-04-2011,NA,24-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-04-2013,NA,25-04-2012,NA,25-04-2011,NA,25-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-04-2013,NA,26-04-2012,NA,26-04-2011,NA,26-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-04-2013,NA,27-04-2012,NA,27-04-2011,NA,27-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-04-2013,NA,28-04-2012,NA,28-04-2011,NA,28-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-04-2013,NA,29-04-2012,NA,29-04-2011,NA,29-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-04-2013,NA,30-04-2012,NA,30-04-2011,NA,30-04-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2013,NA,01-05-2012,NA,01-05-2011,NA,01-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-05-2013,NA,02-05-2012,NA,02-05-2011,NA,02-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-05-2013,NA,03-05-2012,NA,03-05-2011,NA,03-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-05-2013,NA,04-05-2012,NA,04-05-2011,NA,04-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-05-2013,NA,05-05-2012,NA,05-05-2011,NA,05-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-05-2013,NA,06-05-2012,NA,06-05-2011,NA,06-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-05-2013,NA,07-05-2012,NA,07-05-2011,NA,07-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-05-2013,NA,08-05-2012,NA,08-05-2011,NA,08-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-05-2013,NA,09-05-2012,NA,09-05-2011,NA,09-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-05-2013,NA,10-05-2012,NA,10-05-2011,NA,10-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-05-2013,NA,11-05-2012,NA,11-05-2011,NA,11-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-05-2013,NA,12-05-2012,NA,12-05-2011,NA,12-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-05-2013,NA,13-05-2012,NA,13-05-2011,NA,13-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-05-2013,NA,14-05-2012,NA,14-05-2011,NA,14-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-05-2013,NA,15-05-2012,NA,15-05-2011,NA,15-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-05-2013,NA,16-05-2012,NA,16-05-2011,NA,16-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-05-2013,NA,17-05-2012,NA,17-05-2011,NA,17-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-05-2013,NA,18-05-2012,NA,18-05-2011,NA,18-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-05-2013,NA,19-05-2012,NA,19-05-2011,NA,19-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-05-2013,NA,20-05-2012,NA,20-05-2011,NA,20-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-05-2013,NA,21-05-2012,NA,21-05-2011,NA,21-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-05-2013,NA,22-05-2012,NA,22-05-2011,NA,22-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-05-2013,NA,23-05-2012,NA,23-05-2011,NA,23-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-05-2013,NA,24-05-2012,NA,24-05-2011,NA,24-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-05-2013,NA,25-05-2012,NA,25-05-2011,NA,25-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-05-2013,NA,26-05-2012,NA,26-05-2011,NA,26-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-05-2013,NA,27-05-2012,NA,27-05-2011,NA,27-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2013,NA,28-05-2012,NA,28-05-2011,NA,28-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-05-2013,NA,29-05-2012,NA,29-05-2011,NA,29-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-05-2013,NA,30-05-2012,NA,30-05-2011,NA,30-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-05-2013,NA,31-05-2012,NA,31-05-2011,NA,31-05-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2013,NA,01-06-2012,NA,01-06-2011,NA,01-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-06-2013,NA,02-06-2012,NA,02-06-2011,NA,02-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-06-2013,NA,03-06-2012,NA,03-06-2011,NA,03-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-06-2013,NA,04-06-2012,NA,04-06-2011,NA,04-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-06-2013,NA,05-06-2012,NA,05-06-2011,NA,05-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-06-2013,NA,06-06-2012,NA,06-06-2011,NA,06-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-06-2013,NA,07-06-2012,NA,07-06-2011,NA,07-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-06-2013,NA,08-06-2012,NA,08-06-2011,NA,08-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-06-2013,NA,09-06-2012,NA,09-06-2011,NA,09-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-06-2013,NA,10-06-2012,NA,10-06-2011,NA,10-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-06-2013,NA,11-06-2012,NA,11-06-2011,NA,11-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-06-2013,NA,12-06-2012,NA,12-06-2011,NA,12-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-06-2013,NA,13-06-2012,NA,13-06-2011,NA,13-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-06-2013,NA,14-06-2012,NA,14-06-2011,NA,14-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-06-2013,NA,15-06-2012,NA,15-06-2011,NA,15-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
