Timestamp.2014,2014,Timestamp.2013,2013,Timestamp.2012,2012,Timestamp.2011,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-06-2013,NA,15-06-2012,NA,15-06-2011,NA,15-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-06-2013,NA,16-06-2012,NA,16-06-2011,NA,16-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-06-2013,NA,17-06-2012,NA,17-06-2011,NA,17-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-06-2013,NA,18-06-2012,NA,18-06-2011,NA,18-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-06-2013,NA,19-06-2012,NA,19-06-2011,NA,19-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-06-2013,NA,20-06-2012,NA,20-06-2011,NA,20-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-06-2013,NA,21-06-2012,NA,21-06-2011,NA,21-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-06-2013,NA,22-06-2012,NA,22-06-2011,NA,22-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-06-2013,NA,23-06-2012,NA,23-06-2011,NA,23-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-06-2013,NA,24-06-2012,NA,24-06-2011,NA,24-06-2010,NA,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-06-2013,NA,25-06-2012,NA,25-06-2011,NA,25-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-06-2013,NA,26-06-2012,NA,26-06-2011,NA,26-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-06-2013,NA,27-06-2012,NA,27-06-2011,NA,27-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-06-2013,NA,28-06-2012,NA,28-06-2011,NA,28-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-06-2013,NA,29-06-2012,NA,29-06-2011,NA,29-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-06-2013,NA,30-06-2012,NA,30-06-2011,NA,30-06-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2013,NA,01-07-2012,NA,01-07-2011,NA,01-07-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-07-2013,NA,02-07-2012,NA,02-07-2011,NA,02-07-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-07-2013,NA,03-07-2012,NA,03-07-2011,NA,03-07-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-07-2013,NA,04-07-2012,NA,04-07-2011,NA,04-07-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2013,NA,05-07-2012,NA,05-07-2011,NA,05-07-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
